Stint ID,Left Air Pressure,Right Air Pressure,Rear Stagger,Front Stagger,Front Spring Rate,Rear Spring Rate,Ride Height,Left Front Camber,Right Front Camber,Front ARB Preload,LFwearL,LFwearM,LFwearR,LRwearL,LRwearM,LRwearR,RFwearL,RFwearM,RFwearR,RRwearL,RRwearM,RRwearR,Fastest Lap,Best 5 Laps Avg,Best 10 Laps Avg
0,13.0,23.0,0.25,0.125,700.0,200.0,5.75,0.5,-4.5,-30.0,99.4464,99.4019,99.6181,99.2619,99.2615,99.2775,95.5941,95.5734,98.1051,97.3027,97.2572,97.2672,15.8549,16.02214,16.20877
1,13.0,23.0,0.25,0.125,700.0,200.0,6.25,3.5,-3.5,30.0,99.1692,99.2684,100.0,99.5654,99.5651,99.5856,95.0782,95.0614,95.8983,98.5099,98.4707,98.477,15.9703,16.11474,16.29852
2,13.0,23.0,0.25,0.125,700.0,300.0,6.25,0.5,-4.5,30.0,99.337,99.3008,99.6734,99.4795,99.4789,99.5344,94.435,94.4115,97.6057,98.2076,98.1479,98.1539,15.7488,15.94992,16.1586
3,13.0,23.0,0.25,0.125,700.0,400.0,5.75,0.5,-3.5,-30.0,99.2597,99.228,99.6457,99.5461,99.546,99.5651,95.0604,95.0428,96.0454,98.4848,98.4415,98.4489,15.9825,16.071199999999997,16.29552
4,13.0,23.0,0.25,0.125,1600.0,300.0,6.25,0.5,-3.5,-30.0,99.3966,99.3695,99.748,99.5624,99.5622,99.5787,95.6673,95.6508,96.494,98.4405,98.3996,98.4059,15.9107,15.97376,16.21095
5,13.0,23.0,0.25,0.125,2300.0,200.0,5.75,0.5,-4.5,30.0,99.3076,99.267,99.6096,99.257,99.2568,99.2795,94.5979,94.575,97.5766,97.2707,97.2174,97.2251,15.8195,15.98612,16.20947
6,13.0,23.0,0.25,0.125,2300.0,400.0,5.75,0.5,-3.5,30.0,99.3305,99.3037,99.6458,99.4394,99.4389,99.4579,95.4332,95.4162,96.5397,97.9528,97.9161,97.9206,15.734,15.96308,16.172710000000002
7,13.0,23.0,0.25,0.125,2300.0,400.0,5.75,3.5,-4.5,-30.0,99.2267,99.3488,100.0,99.2111,99.2093,99.2334,95.3032,95.2821,97.8105,97.0565,97.0055,97.0108,15.6691,15.856800000000002,16.04881
8,13.0,23.0,0.25,0.625,700.0,200.0,6.25,3.5,-4.5,-30.0,99.4141,99.5281,100.0,99.5424,99.5422,99.5613,96.0964,96.0755,98.0241,98.4381,98.3978,98.4043,15.8514,15.97436,16.17878
9,13.0,23.0,0.25,0.625,700.0,300.0,5.75,0.5,-3.5,30.0,99.3646,99.3312,99.6554,99.4745,99.4737,99.4966,95.5368,95.519,96.7418,98.178,98.1334,98.14,15.7512,15.94472,16.139780000000002
10,13.0,23.0,0.25,0.625,700.0,400.0,6.25,3.5,-4.5,30.0,99.2852,99.4465,100.0,99.4645,99.4641,99.497,95.3472,95.3241,97.7383,98.1809,98.1317,98.1357,15.8342,16.0486,16.22851
11,13.0,23.0,0.25,0.625,1600.0,200.0,5.75,3.5,-3.5,30.0,99.2594,99.3621,100.0,99.4206,99.4203,99.428,96.0858,96.0701,96.9274,97.9155,97.8751,97.8798,15.6959,15.9285,16.11815
12,13.0,23.0,0.25,0.625,1600.0,200.0,6.25,0.5,-4.5,30.0,99.3826,99.3487,99.7724,99.546,99.5457,99.5626,94.8917,94.8683,97.2654,98.4612,98.4165,98.4241,16.1207,16.17602,16.37663
13,13.0,23.0,0.25,0.625,1600.0,300.0,5.75,0.5,-4.5,-30.0,99.4614,99.4275,99.6953,99.449,99.4486,99.465,95.7131,95.6922,97.8565,98.0079,97.9711,97.9758,15.9315,16.1068,16.26929
14,13.0,23.0,0.25,0.625,1600.0,400.0,5.75,3.5,-3.5,30.0,99.2524,99.3476,99.9995,99.2235,99.2222,99.2435,95.6104,95.5941,96.7232,96.9536,96.9117,96.9165,15.6392,15.82356,16.00284
15,13.0,23.0,0.25,0.625,2300.0,200.0,6.25,3.5,-3.5,-30.0,99.2763,99.3836,99.999,99.4746,99.4732,99.4831,95.4048,95.3871,96.5908,97.9507,97.904,97.9111,16.0635,16.17446,16.34939
16,13.0,23.0,0.25,0.625,2300.0,300.0,5.75,3.5,-4.5,30.0,99.2254,99.2986,99.9987,99.2178,99.217,99.2292,94.6076,94.5849,97.409,97.0429,96.9913,96.9983,15.593,15.85174,16.02851
17,13.0,23.0,1.25,0.125,700.0,200.0,5.75,0.5,-3.5,30.0,99.3389,99.2662,99.5666,98.7694,98.7695,98.7863,94.447,94.4283,95.9335,95.4724,95.4115,95.4463,15.5678,15.79034,15.99849
18,13.0,23.0,1.25,0.125,700.0,400.0,5.75,3.5,-3.5,30.0,99.3513,99.4159,99.9939,98.5115,98.5105,98.5256,95.7476,95.733,96.7711,94.1572,94.1081,94.1326,15.6605,15.7841,15.98019
19,13.0,23.0,1.25,0.125,1600.0,200.0,6.25,0.5,-4.5,-30.0,99.5127,99.4665,99.7842,99.1646,99.1632,99.2069,95.1075,95.0856,97.5076,96.8159,96.7643,96.7861,15.8343,15.99788,16.1796
20,13.0,23.0,1.25,0.125,1600.0,400.0,5.75,0.5,-4.5,30.0,99.4445,99.3717,99.6597,98.9599,98.9597,98.9768,94.3223,94.2998,97.5598,96.0247,95.9791,96.0065,15.5306,15.77504,15.98955
21,13.0,23.0,1.25,0.125,1600.0,400.0,6.25,3.5,-3.5,-30.0,99.352,99.4086,100.0,98.6447,98.6445,98.6599,95.2594,95.2424,96.4013,94.4702,94.4349,94.4484,15.6423,15.81134,15.98525
22,13.0,23.0,1.25,0.125,2300.0,300.0,5.75,0.5,-3.5,-30.0,99.4873,99.4297,99.7394,99.3568,99.3568,99.3648,95.8825,95.8666,96.6697,97.5442,97.512,97.5337,15.794,15.9917,16.16249
23,13.0,23.0,1.25,0.125,2300.0,300.0,6.25,3.5,-4.5,30.0,99.2136,99.3578,99.9997,98.9842,98.984,99.0134,93.6616,93.6366,96.6897,96.1692,96.1252,96.1477,15.5899,15.82714,16.04624
24,13.0,23.0,1.25,0.625,700.0,300.0,5.75,3.5,-3.5,-30.0,99.3718,99.4159,99.9995,98.6029,98.601,98.6115,95.8547,95.8388,96.8877,94.5866,94.5378,94.5568,15.4784,15.700819999999998,15.88796
25,13.0,23.0,1.25,0.625,2300.0,400.0,6.25,0.5,-4.5,-30.0,99.5019,99.4586,99.7936,99.2194,99.2191,99.2363,94.9523,94.9286,97.4296,96.9449,96.9073,96.9274,15.6952,15.82272,16.0129
26,13.0,32.0,0.25,0.125,700.0,300.0,5.75,3.5,-4.5,30.0,99.282,99.3222,99.9993,99.3244,99.3241,99.3293,96.1746,96.1543,99.7924,97.9334,97.8687,97.8759,15.8402,15.99658,16.18834
27,13.0,32.0,0.25,0.125,1600.0,200.0,5.75,3.5,-3.5,-30.0,99.1557,99.1868,99.9996,99.2985,99.2981,99.2997,96.2714,96.2559,98.6447,97.8094,97.7327,97.7419,15.8067,15.99322,16.20748
28,13.0,32.0,0.25,0.125,2300.0,300.0,6.25,0.5,-4.5,-30.0,99.3824,99.3416,99.7665,99.5445,99.5443,99.5524,95.5787,95.5553,99.6463,98.7576,98.6947,98.7067,16.0746,16.18638,16.362360000000002
29,13.0,32.0,0.25,0.625,2300.0,400.0,6.25,3.5,-3.5,30.0,98.9725,99.1942,99.9993,99.5534,99.5533,99.5634,94.8401,94.8189,98.0984,98.7686,98.7127,98.7237,15.9072,16.14168,16.309289999999997
30,13.0,32.0,1.25,0.125,700.0,300.0,6.25,0.5,-4.5,-30.0,99.3711,99.321,99.709,99.2929,99.2927,99.2991,94.963,94.9381,99.6409,97.7069,97.6573,97.6904,15.9266,16.11118,16.27679
31,13.0,32.0,1.25,0.625,1600.0,200.0,5.75,3.5,-4.5,30.0,99.1566,99.2054,99.9982,98.4783,98.4785,98.478,94.5233,94.4999,99.4128,95.135,95.0545,95.1009,15.761,15.85742,16.034039999999997
32,13.0,32.0,1.25,0.625,1600.0,400.0,5.75,0.5,-3.5,-30.0,99.213,99.1718,99.5166,98.8541,98.8541,98.865,95.1861,95.1682,98.094,96.1221,96.0558,96.0847,15.8114,15.94886,16.126089999999998
33,13.0,41.0,0.25,0.125,700.0,200.0,5.75,0.5,-3.5,30.0,98.9947,98.9723,99.6599,99.5267,99.5269,99.5275,95.1082,95.0872,99.6408,98.9701,98.8973,98.9202,16.0397,16.25824,16.46043
34,13.0,41.0,0.25,0.125,700.0,400.0,6.25,0.5,-3.5,30.0,98.9767,98.9547,99.6544,99.5452,99.5449,99.5565,94.741,94.7201,99.3422,98.9621,98.8843,98.9034,16.1218,16.3481,16.51232
35,13.0,41.0,0.25,0.125,1600.0,200.0,6.25,3.5,-4.5,30.0,99.1303,99.2617,99.9979,99.4862,99.4859,99.4896,95.9712,95.9499,99.9667,98.7677,98.677,98.6975,16.0608,16.281760000000002,16.468960000000003
36,13.0,41.0,0.25,0.125,1600.0,400.0,5.75,3.5,-3.5,-30.0,98.8406,98.9137,99.9998,99.3403,99.34,99.3401,95.4544,95.436,99.4521,98.2714,98.1747,98.1967,15.9006,16.13862,16.33596
37,13.0,41.0,0.25,0.625,2300.0,200.0,5.75,0.5,-3.5,30.0,99.0354,99.0111,99.5876,99.4022,99.4017,99.4016,95.6667,95.649,99.5338,98.4933,98.396,98.42,16.1341,16.276999999999997,16.47168
38,13.0,41.0,0.25,0.625,2300.0,300.0,5.75,3.5,-4.5,-30.0,98.8677,99.0103,99.9987,99.3627,99.3628,99.3733,95.1509,95.1279,99.9711,98.4662,98.3701,98.4003,16.1435,16.236439999999998,16.510489999999997
39,13.0,41.0,1.25,0.125,1600.0,200.0,5.75,0.5,-4.5,-30.0,99.2418,99.1944,99.4684,97.95,97.9505,97.9546,94.9559,94.937,99.9932,93.7207,93.5831,93.6809,15.8212,15.96988,16.165869999999998
40,13.0,41.0,1.25,0.125,2300.0,200.0,6.25,3.5,-3.5,-30.0,99.1517,99.1852,99.9992,97.3981,97.3953,97.4116,96.3125,96.2997,99.0817,91.2901,91.1483,91.2003,15.7163,15.9542,16.181440000000002
41,13.0,41.0,1.25,0.125,2300.0,400.0,5.75,0.5,-4.5,-30.0,99.1496,99.1088,99.5431,98.6354,98.6353,98.6428,94.2789,94.2597,99.9882,95.7994,95.6858,95.7648,15.7317,15.886680000000002,16.07971
42,13.0,41.0,1.25,0.625,700.0,200.0,6.25,3.5,-3.5,-30.0,98.9849,99.1108,99.9968,99.2266,99.2264,99.2344,95.5409,95.5224,99.2724,97.7032,97.629,97.685,15.9909,16.18006,16.33674
43,13.0,41.0,1.25,0.625,700.0,400.0,5.75,3.5,-4.5,30.0,99.0163,99.0566,99.9986,98.3484,98.348,98.3526,94.5228,94.4997,99.9854,95.081,94.9636,95.0414,15.6347,15.80316,16.02242
44,13.0,41.0,1.25,0.625,1600.0,300.0,6.25,0.5,-3.5,30.0,99.1419,99.0857,99.4738,99.0702,99.0693,99.0992,95.405,95.3868,99.178,97.1287,97.0369,97.0775,16.0909,16.18464,16.35671
45,20.0,23.0,0.25,0.125,700.0,200.0,6.25,0.5,-3.5,-30.0,99.3517,99.2932,99.7269,99.5994,99.5985,99.6208,94.5745,94.5538,95.9337,98.3273,98.2496,98.2588,15.9945,16.15664,16.36039
46,20.0,23.0,0.25,0.125,1600.0,300.0,5.75,3.5,-3.5,30.0,99.127,99.1656,99.9998,99.1758,99.1711,99.1767,94.8644,94.8467,96.2618,96.3258,96.2568,96.2637,15.5988,15.91766,16.09976
47,20.0,23.0,0.25,0.625,700.0,200.0,5.75,0.5,-4.5,30.0,99.3619,99.3036,99.5633,99.1876,99.1856,99.1926,94.3112,94.2869,98.1016,96.5131,96.4279,96.4373,15.6886,15.90758,16.10981
48,20.0,23.0,0.25,0.625,2300.0,300.0,6.25,0.5,-4.5,30.0,99.2924,99.2358,99.721,99.5603,99.559,99.5642,93.6563,93.6298,97.0584,98.053,97.982,97.9916,15.9319,16.03574,16.22542
49,20.0,23.0,1.25,0.125,700.0,200.0,6.25,3.5,-4.5,30.0,99.0755,99.1684,99.9972,98.395,98.3932,98.3968,92.3312,92.3054,96.4115,93.6984,93.6274,93.6482,15.6542,15.80922,16.03975
50,20.0,23.0,1.25,0.125,700.0,400.0,5.75,3.5,-4.5,-30.0,99.2663,99.2906,99.9998,97.8021,97.7998,97.8037,93.7255,93.7027,97.4337,91.6475,91.5676,91.589,15.5145,15.7258,15.93911
51,20.0,23.0,1.25,0.125,2300.0,200.0,5.75,3.5,-4.5,-30.0,99.4029,99.4727,99.9998,97.6123,97.6102,97.6327,94.9605,94.9408,97.4441,91.2292,91.1288,91.1578,15.5325,15.7575,15.92162
52,20.0,23.0,1.25,0.125,2300.0,400.0,6.25,0.5,-3.5,30.0,99.35,99.2332,99.5304,99.0111,99.0098,99.0247,94.047,94.0282,95.3732,95.4889,95.4128,95.4349,15.6947,15.92794,16.09058
53,20.0,23.0,1.25,0.625,1600.0,300.0,6.25,0.5,-3.5,-30.0,99.3382,99.2935,99.7042,99.2396,99.239,99.3107,94.2334,94.2131,95.6313,96.7175,96.6087,96.6311,15.8481,16.0287,16.238509999999998
